sample_id,Gene1,Gene2,Gene3
Sample_001,15.43,22.76,31.89
Sample_002,43.89,51.14,62.67
Sample_003,71.56,79.91,85.23
Sample_004,28.78,35.43,45.12
Sample_005,56.14,64.67,73.25
Sample_006,12.89,19.14,27.78
Sample_007,67.43,74.91,81.34
Sample_008,39.67,47.23,58.89
Sample_009,84.23,87.76,89.14
Sample_010,24.91,31.32,42.67
Sample_011,78.43,45.18,23.91
Sample_012,52.14,29.67,18.56
Sample_013,89.67,62.23,41.78
Sample_014,34.32,19.84,12.43
Sample_015,61.67,38.45,25.29
Sample_016,14.23,11.91,10.67
Sample_017,86.56,63.72,44.14
Sample_018,47.14,25.43,16.89
Sample_019,73.67,49.18,32.45
Sample_020,19.32,13.76,11.23
Sample_021,31.18,68.43,82.29
Sample_022,58.67,79.91,87.45
Sample_023,16.45,54.14,71.72
Sample_024,74.83,86.29,89.96
Sample_025,42.91,75.67,83.14
Sample_026,89.14,88.43,87.67
Sample_027,23.72,61.85,76.23
Sample_028,66.29,82.56,85.91
Sample_029,11.83,49.23,68.46
Sample_030,87.67,89.91,88.78
