sample_id,Gene1,Gene2,Gene3
Sample_001,12.34,15.67,18.91
Sample_002,14.78,17.89,21.34
Sample_003,16.91,19.78,23.67
Sample_004,18.67,21.45,25.89
Sample_005,20.23,23.12,28.14
Sample_006,21.89,24.91,30.45
Sample_007,23.67,26.78,32.91
Sample_008,25.34,28.67,35.23
Sample_009,27.12,30.89,37.78
Sample_010,29.45,33.23,40.67
Sample_011,32.23,36.45,44.12
Sample_012,35.67,40.23,48.34
Sample_013,39.45,44.78,53.12
Sample_014,43.89,49.67,58.45
Sample_015,48.67,54.91,64.23
Sample_016,53.78,60.45,70.12
Sample_017,59.23,66.34,75.89
Sample_018,64.91,72.12,80.67
Sample_019,70.34,77.45,84.23
Sample_020,75.12,81.67,86.78
Sample_021,78.89,84.23,88.34
Sample_022,81.67,86.12,89.23
Sample_023,83.78,87.45,89.67
Sample_024,85.23,88.34,89.78
Sample_025,86.34,88.91,89.56
Sample_026,87.12,89.23,89.45
Sample_027,87.67,89.45,89.34
Sample_028,88.12,89.56,89.23
Sample_029,88.45,89.67,89.12
Sample_030,88.78,89.78,89.01
