,LatDim_0,LatDim_1,split
Sample_001,-0.38674793,-0.7055404,train
Sample_003,-2.168799,-0.6737956,train
Sample_004,1.3264947,1.4444485,train
Sample_005,-0.22815105,0.4877522,train
Sample_006,-0.18084264,-1.0134963,train
Sample_007,-0.67635834,0.40181142,train
Sample_008,-0.234595,-1.4752438,train
Sample_009,0.9606993,0.3006656,train
Sample_010,-0.8528409,-0.6270011,train
Sample_012,0.6368764,-1.2408137,train
Sample_013,0.4111805,-0.13502303,train
Sample_014,-0.47221798,1.5168426,train
Sample_016,-1.0564814,1.3087416,train
Sample_017,-0.26915607,-0.20551264,train
Sample_019,0.3367476,0.4559177,train
Sample_024,-0.5006047,0.3847975,train
Sample_025,1.2137662,-0.329167,train
Sample_026,1.4424815,-0.24469736,train
Sample_027,-0.3042491,-1.1214893,train
Sample_028,-0.05821077,1.213846,train
Sample_030,0.1463342,1.5648824,train
Sample_002,0.57083327,0.64106077,valid
Sample_023,2.3163235,1.2522725,valid
Sample_029,-0.91567975,-0.8921509,valid
