,Gene3,Gene1,Gene2,split
Sample_001,0.112998426,-0.12868968,-0.2600974,train
Sample_003,-0.16015908,0.16346905,0.76101404,train
Sample_004,-0.13716829,0.14661866,0.5525257,train
Sample_005,-0.19833209,0.19168517,1.1057818,train
Sample_006,-0.07585525,0.10130026,-0.0027732665,train
Sample_007,-0.07559,0.10095861,-0.0027895297,train
Sample_008,0.61654574,-0.74179304,-0.947437,train
Sample_009,-0.16980737,0.17074323,0.84813094,train
Sample_010,-0.09995427,0.1189678,0.2172616,train
Sample_012,-0.07559,0.10095861,-0.0027895297,train
Sample_013,-0.07585525,0.10130026,-0.0027732665,train
Sample_014,-0.102293186,0.12069665,0.23838602,train
Sample_016,-0.08836256,0.110399626,0.112568565,train
Sample_017,0.25372154,-0.3000513,-0.45209843,train
Sample_019,-0.083693825,0.106948666,0.07040189,train
Sample_024,-0.14341721,0.15109405,0.6098064,train
Sample_025,0.9481535,-1.1456764,-1.3995733,train
Sample_026,-0.095388405,0.11559288,0.176024,train
Sample_027,-0.07559,0.10095861,-0.0027895297,train
Sample_028,-0.08119504,0.10510166,0.047833636,train
Sample_030,0.3646317,-0.4351091,-0.60342306,train
Sample_002,-0.07866928,0.1034706,0.020180302,valid
Sample_023,0.9800851,-1.1844542,-1.4438378,valid
Sample_029,-0.13327098,0.14386243,0.51626664,valid
