,LatDim_0,LatDim_1,split
Sample_001,0.65220654,-0.35852963,train
Sample_003,-1.1090815,-0.28025392,train
Sample_004,1.587492,-1.6693195,train
Sample_005,0.2192257,-1.9498276,train
Sample_006,1.9192932,-0.7714468,train
Sample_007,-1.0229703,0.5568373,train
Sample_008,1.9480742,-0.9430324,train
Sample_009,0.6805248,0.17035235,train
Sample_010,4.2346873,-0.5821705,train
Sample_012,0.8312281,0.9935388,train
Sample_013,-0.31270838,-1.4874957,train
Sample_014,-0.15068081,-1.9352934,train
Sample_016,2.2793972,1.170501,train
Sample_017,0.41764945,-0.24429682,train
Sample_019,1.1020522,1.3120551,train
Sample_024,-1.0307276,0.51215565,train
Sample_025,-0.023030203,-0.76232725,train
Sample_026,1.1043153,0.46863672,train
Sample_027,0.3669064,-0.47197422,train
Sample_028,1.3051724,-0.09773982,train
Sample_030,-1.144076,1.6703707,train
Sample_002,1.5694042,0.7693653,valid
Sample_023,1.0221463,1.2509868,valid
Sample_029,-0.5778204,-0.20871107,valid
