,Gene1,Gene2,Gene3,split
Sample_001,0.18889761,-0.39936042,0.4755006,train
Sample_003,-0.096286856,0.1269142,0.012770864,train
Sample_004,-0.07407109,0.10934207,-0.025784649,train
Sample_005,-0.096286856,0.1269142,0.012770864,train
Sample_006,0.5208647,-0.36123785,-1.0582972,train
Sample_007,0.012709416,-0.07412055,0.18937264,train
Sample_008,0.03245666,0.025264956,-0.2113832,train
Sample_009,-0.096286856,0.1269142,0.012770864,train
Sample_010,-0.096286856,0.1269142,0.012770864,train
Sample_012,-0.06333694,0.06614077,0.06615814,train
Sample_013,0.20097348,-0.42163497,0.49507108,train
Sample_014,-0.096286856,0.1269142,0.012770864,train
Sample_016,0.7011986,-1.3439827,1.3049008,train
Sample_017,0.1315485,-0.29330957,0.3819223,train
Sample_019,0.23526457,-0.48460543,0.54996884,train
Sample_024,0.33276513,-0.21222766,-0.7325548,train
Sample_025,0.33694634,-0.21576285,-0.73910636,train
Sample_026,0.011199631,0.04207562,-0.1744926,train
Sample_027,0.08367147,-0.2050043,0.3043493,train
Sample_028,0.080586605,-0.19931448,0.299351,train
Sample_030,0.07846842,-0.011313006,-0.29051733,train
Sample_002,0.12738714,-0.049546346,-0.3766984,valid
Sample_023,0.42619386,-0.28572333,-0.8951239,valid
Sample_029,0.03980174,0.019681193,-0.22473899,valid
