,LatDim_0,LatDim_1,split
Sample_001,0.034787506,-0.3762968,train
Sample_003,1.9194343,1.5252506,train
Sample_004,1.4157169,-0.8138455,train
Sample_005,0.7377606,1.3204385,train
Sample_006,0.05200091,-0.7306769,train
Sample_007,3.2872243,1.2654063,train
Sample_008,1.3010077,-0.5895036,train
Sample_009,0.67133355,-0.65993965,train
Sample_010,-0.4468922,1.1524693,train
Sample_012,-0.73200285,-0.19163431,train
Sample_013,1.5062896,-0.21249129,train
Sample_014,0.62267613,2.5792854,train
Sample_016,0.5789208,-1.890828,train
Sample_017,0.6124246,-1.6159803,train
Sample_019,-0.23717643,0.37820876,train
Sample_024,3.756176,0.22231771,train
Sample_025,-1.7913063,-0.536732,train
Sample_026,-0.9816221,1.7220069,train
Sample_027,1.6756039,1.2020679,train
Sample_028,1.1450524,-0.45293838,train
Sample_030,0.56453836,0.35543942,train
Sample_002,0.86853874,-0.64445215,valid
Sample_023,-0.0790315,-0.9140116,valid
Sample_029,0.8769286,-1.1762494,valid
