,Gene1,Gene2,Gene3,split
Sample_001,-0.35088086,-0.25462478,0.40508053,train
Sample_003,0.1155601,-0.06111195,0.060118906,train
Sample_004,-1.2658719,0.48939216,-0.36152986,train
Sample_005,0.1155601,-0.06111195,0.060118906,train
Sample_006,-0.22846465,-0.20383784,0.31454626,train
Sample_007,0.115956165,-0.061254635,0.060206067,train
Sample_008,0.1155601,-0.06111195,0.060118906,train
Sample_009,0.062043216,-0.08331455,0.09969791,train
Sample_010,0.1155601,-0.06111195,0.060118906,train
Sample_012,0.1155601,-0.06111195,0.060118906,train
Sample_013,0.1155601,-0.06111195,0.060118906,train
Sample_014,-0.3785439,0.3958439,-0.42371944,train
Sample_016,0.115956165,-0.061254635,0.060206067,train
Sample_017,0.115956165,-0.061254635,0.060206067,train
Sample_019,0.1155601,-0.06111195,0.060118906,train
Sample_024,-0.25831568,0.28465474,-0.30598906,train
Sample_025,0.1155601,-0.06111195,0.060118906,train
Sample_026,0.115956165,-0.061254635,0.060206067,train
Sample_027,-1.0006409,0.19215807,-0.033439793,train
Sample_028,-0.10038501,0.13859776,-0.15133962,train
Sample_030,0.046445847,-0.08978545,0.11123312,train
Sample_002,-0.9939211,0.4587706,-0.379272,valid
Sample_023,-0.88148,0.23102963,-0.1107567,valid
Sample_029,0.11633984,-0.06140951,0.06024187,valid
